GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2013,2016,2020
" ""00000""",United States, ,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,14063283000,15884741000,19609985000
" ""00000""",United States, ,CAINC1,2,...,Population (persons) 1/,Number of persons,316735375,324367742,331511512
" ""00000""",United States, ,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,44401,48971,59153
" ""01000""",Alabama,5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,173720680,190871820,230872566
" ""01000""",Alabama,5,CAINC1,2,...,Population (persons) 1/,Number of persons,4864399,4930595,5031362
" ""01000""",Alabama,5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,35713,38712,45887
" ""01001""","Autauga, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1966036,2222448,2659457
" ""01001""","Autauga, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,55594,56954,58902
" ""01001""","Autauga, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,35364,39022,45151
" ""01003""","Baldwin, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,7534558,9032772,11947762
" ""01003""","Baldwin, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,196067,210004,233219
" ""01003""","Baldwin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,38428,43012,51230
" ""01005""","Barbour, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,799040,813637,926302
" ""01005""","Barbour, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,27158,26217,24960
" ""01005""","Barbour, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,29422,31035,37111
" ""01007""","Bibb, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,611305,647542,775032
" ""01007""","Bibb, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,22544,22654,22183
" ""01007""","Bibb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27116,28584,34938
" ""01009""","Blount, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1742644,1894626,2253760
" ""01009""","Blount, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,58024,58238,59102
" ""01009""","Blount, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,30033,32532,38133
" ""01011""","Bullock, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,261896,266419,313972
" ""01011""","Bullock, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,10670,10612,10296
" ""01011""","Bullock, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,24545,25105,30495
" ""01013""","Butler, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,638145,679319,752367
" ""01013""","Butler, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,20212,19760,19031
" ""01013""","Butler, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31573,34378,39534
" ""01015""","Calhoun, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,3712764,3970877,4601998
" ""01015""","Calhoun, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,117465,116810,116239
" ""01015""","Calhoun, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31607,33994,39591
" ""01017""","Chambers, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1007148,1096109,1255880
" ""01017""","Chambers, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,34721,34881,34645
" ""01017""","Chambers, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,29007,31424,36250
" ""01019""","Cherokee, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,804442,862695,998154
" ""01019""","Cherokee, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,25602,24973,24972
" ""01019""","Cherokee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31421,34545,39971
" ""01021""","Chilton, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1294972,1419611,1735895
" ""01021""","Chilton, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,43823,44251,45051
" ""01021""","Chilton, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,29550,32081,38532
" ""01023""","Choctaw, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,450924,461267,511455
" ""01023""","Choctaw, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,13473,13183,12619
" ""01023""","Choctaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33469,34990,40531
" ""01025""","Clarke, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,779789,830443,947607
" ""01025""","Clarke, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,25036,24164,22981
" ""01025""","Clarke, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31147,34367,41234
" ""01027""","Clay, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,375488,415599,498363
" ""01027""","Clay, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,13751,14062,14211
" ""01027""","Clay, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27306,29555,35069
" ""01029""","Cleburne, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,469354,505731,571310
" ""01029""","Cleburne, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,15000,14919,15063
" ""01029""","Cleburne, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31290,33898,37928
" ""01031""","Coffee, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1873034,2036906,2411713
" ""01031""","Coffee, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,50825,51501,53547
" ""01031""","Coffee, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,36853,39551,45039
" ""01033""","Colbert, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1802358,1956747,2294959
" ""01033""","Colbert, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,55123,55595,57299
" ""01033""","Colbert, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,32697,35196,40052
" ""01035""","Conecuh, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,369162,373341,428621
" ""01035""","Conecuh, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,12808,12308,11553
" ""01035""","Conecuh, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28823,30333,37100
" ""01037""","Coosa, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,295444,315750,372279
" ""01037""","Coosa, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,11165,10651,10341
" ""01037""","Coosa, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,26462,29645,36000
" ""01039""","Covington, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1161499,1233727,1422508
" ""01039""","Covington, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,38005,37749,37507
" ""01039""","Covington, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,30562,32682,37926
" ""01041""","Crenshaw, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,457578,475531,525744
" ""01041""","Crenshaw, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,13681,13590,13165
" ""01041""","Crenshaw, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33446,34991,39935
" ""01043""","Cullman, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,2755621,3000266,3717435
" ""01043""","Cullman, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,81780,84554,88131
" ""01043""","Cullman, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33696,35483,42181
" ""01045""","Dale, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1660780,1707153,1983112
" ""01045""","Dale, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,49903,49655,49253
" ""01045""","Dale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,33280,34380,40264
" ""01047""","Dallas, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1253058,1322627,1499041
" ""01047""","Dallas, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,42750,41526,38174
" ""01047""","Dallas, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,29311,31851,39269
" ""01049""","DeKalb, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1973307,2117761,2478755
" ""01049""","DeKalb, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,70892,71131,71648
" ""01049""","DeKalb, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,27835,29773,34596
" ""01051""","Elmore, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,2909288,3258300,3921440
" ""01051""","Elmore, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,82389,84840,87853
" ""01051""","Elmore, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,35312,38405,44636
" ""01053""","Escambia, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1102830,1146118,1334403
" ""01053""","Escambia, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,37912,37759,36680
" ""01053""","Escambia, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,29089,30354,36380
" ""01055""","Etowah, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,3247727,3543313,4097213
" ""01055""","Etowah, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,104249,103603,103447
" ""01055""","Etowah, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31154,34201,39607
" ""01057""","Fayette, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,488673,535007,624163
" ""01057""","Fayette, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,16864,16630,16330
" ""01057""","Fayette, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28977,32171,38222
" ""01059""","Franklin, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,902917,978872,1170652
" ""01059""","Franklin, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,31751,32029,32075
" ""01059""","Franklin, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,28437,30562,36497
" ""01061""","Geneva, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,811126,863888,1019276
" ""01061""","Geneva, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,26780,26670,26696
" ""01061""","Geneva, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,30288,32392,38181
" ""01063""","Greene, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,263001,257273,282090
" ""01063""","Greene, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,8650,8302,7702
" ""01063""","Greene, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,30405,30989,36626
" ""01065""","Hale, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,486533,512643,608503
" ""01065""","Hale, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,15293,14927,14768
" ""01065""","Hale, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31814,34343,41204
" ""01067""","Henry, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,597584,669687,816757
" ""01067""","Henry, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,17115,17036,17175
" ""01067""","Henry, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,34916,39310,47555
" ""01069""","Houston, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,3780021,4140656,5077303
" ""01069""","Houston, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,103909,104766,107286
" ""01069""","Houston, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,36378,39523,47325
" ""01071""","Jackson, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,1689202,1786465,2044238
" ""01071""","Jackson, AL",5,CAINC1,2,...,Population (persons) 1/,Number of persons,53304,52657,52545
" ""01071""","Jackson, AL",5,CAINC1,3,...,Per capita personal income (dollars) 2/,Dollars,31690,33926,38905
" ""01073""","Jefferson, AL",5,CAINC1,1,...,Personal income (thousands of dollars) ,Thousands of dollars,29412361,32579052,39180917
