Fruit,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year,,,,,,,,,
Apples,Fresh,1.57,per pound,0.9,0.243,pounds,0.42,2013,,,,,,,,,
"Apples, applesauce",Canned,1.08,per pound,1,0.54,pounds,0.58,2013,,,,,,,,,
"Apples, ready-to-drink",Juice,0.73,per pint,1,8,fluid ounces,0.36,2013,,,,,,,,,
"Apples, frozen concentrate",Juice,0.54,per pint,1,8,fluid ounces,0.27,2013,,,,,,,,,
Apricots,Fresh,3.04,per pound,0.93,0.364,pounds,1.1603,2013,,,,,,,,,
"Apricots, packed in juice",Canned,1.65,per pound,1,0.54,pounds,0.89,2013,,,,,,,,,
"Apricots, packed in syrup or water",Canned,1.55,per pound,0.65,0.441,pounds,1.05,2013,,,,,,,,,
Apricots,Dried,7.73,per pound,1,0.143,pounds,1.11,2013,,,,,,,,,
Bananas,Fresh,0.57,per pound,0.64,0.331,pounds,0.29,2013,,,,,,,,,
"Berries, mixed",Frozen,3.41,per pound,1,0.331,pounds,1.13,2013,,,,,,,,,
Blackberries,Fresh,5.77,per pound,0.96,0.32,pounds,1.92,2013,,,,,,,,,
Blackberries,Frozen,3.39,per pound,1,0.331,pounds,1.12,2013,,,,,,,,,
Blueberries,Fresh,4.73,per pound,0.95,0.32,pounds,1.59,2013,,,,,,,,,
Blueberries,Frozen,3.64,per pound,1,0.331,pounds,1.2,2013,,,,,,,,,
Cantaloupe,Fresh,0.54,per pound,0.51,0.375,pounds,0.39,2013,,,,,,,,,
Cherries,Fresh,3.59,per pound,0.92,0.342,pounds,1.33,2013,,,,,,,,,
"Cherries, packed in syrup or water",Canned,3.52,per pound,0.65,0.441,pounds,2.39,2013,,,,,,,,,
Cranberries,Dried,4.79,per pound,1,0.123,pounds,0.59,2013,,,,,,,,,
Dates,Dried,4.79,per pound,1,0.165,pounds,0.79,2013,,,,,,,,,
Figs,Dried,5.75,per pound,0.96,0.165,pounds,0.99,2013,,,,,,,,,
"Fruit cocktail, packed in juice",Canned,1.49,per pound,1,0.54,pounds,0.8,2013,,,,,,,,,
"Fruit cocktail, packed in syrup or water",Canned,1.24,per pound,0.65,0.441,pounds,0.84,2013,,,,,,,,,
Grapefruit,Fresh,0.9,per pound,0.49,0.463,pounds,0.85,2013,,,,,,,,,
"Grapefruit, ready-to-drink",Juice,0.82,per pint,1,8,fluid ounces,0.41,2013,,,,,,,,,
Grapes,Fresh,2.09,per pound,0.96,0.331,pounds,0.72,2013,,,,,,,,,
Grapes (raisins),Dried,3.5,per pound,1,0.165,pounds,0.58,2013,,,,,,,,,
"Grapes, ready-to-drink",Juice,0.91,per pint,1,8,fluid ounces,0.46,2013,,,,,,,,,
"Grapes, frozen concentrate",Juice,0.72,per pint,1,8,fluid ounces,0.36,2013,,,,,,,,,
Honeydew,Fresh,0.8,per pound,0.46,0.375,pounds,0.65,2013,,,,,,,,,
Kiwi,Fresh,2.04,per pound,0.76,0.386,pounds,1.04,2013,,,,,,,,,
Mangoes,Fresh,1.38,per pound,0.71,0.364,pounds,0.71,2013,,,,,,,,,
Mangoes,Dried,8.5,per pound,1,0.125,pounds,1.07,2013,,,,,,,,,
Nectarines,Fresh,1.76,per pound,0.91,0.32,pounds,0.62,2013,,,,,,,,,
Oranges,Fresh,1.04,per pound,0.73,0.408,pounds,0.58,2013,,,,,,,,,
"Oranges, ready-to-drink",Juice,0.8,per pint,1,8,fluid ounces,0.4,2013,,,,,,,,,
"Oranges, frozen concentrate",Juice,0.69,per pint,1,8,fluid ounces,0.34,2013,,,,,,,,,
Papaya,Fresh,1.3,per pound,0.62,0.309,pounds,0.65,2013,,,,,,,,,
Papaya,Dried,4.57,per pound,1,0.154,pounds,0.7,2013,,,,,,,,,
Peaches,Fresh,1.59,per pound,0.96,0.342,pounds,0.57,2013,,,,,,,,,
"Peaches, packed in juice",Canned,1.96,per pound,1,0.54,pounds,1.06,2013,,,,,,,,,
"Peaches, packed in syrup or water",Canned,1.51,per pound,0.65,0.441,pounds,1.02,2013,,,,,,,,,
Peaches,Frozen,2.89,per pound,1,0.331,pounds,0.96,2013,,,,,,,,,
Pears,Fresh,1.46,per pound,0.9,0.364,pounds,0.59,2013,,,,,,,,,
"Pears, packed in juice",Canned,1.85,per pound,1,0.54,pounds,1,2013,,,,,,,,,
"Pears, packed in syrup or water",Canned,1.63,per pound,0.65,0.441,pounds,1.11,2013,,,,,,,,,
Pineapple,Fresh,0.63,per pound,0.51,0.364,pounds,0.45,2013,,,,,,,,,
"Pineapple, packed in juice",Canned,1.14,per pound,1,0.54,pounds,0.62,2013,,,,,,,,,
"Pineapple, packed in syrup or water",Canned,1.13,per pound,0.65,0.441,pounds,0.77,2013,,,,,,,,,
Pineapple,Dried,5.5,per pound,1,0.154,pounds,0.85,2013,,,,,,,,,
"Pineapple, ready-to-drink",Juice,0.91,per pint,1,8,fluid ounces,0.45,2013,,,,,,,,,
"Pineapple, frozen concentrate",Juice,0.59,per pint,1,8,fluid ounces,0.3,2013,,,,,,,,,
