Vegetable,Form,RetailPrice,RetailPriceUnit,Yield,CupEquivalentSize,CupEquivalentUnit,CupEquivalentPrice,Year
Acorn squash,Fresh,1.12,per pound,0.4586,0.4519,pounds,1.1,2016
Artichoke,Fresh,2.36,per pound,0.375,0.3858,pounds,2.43,2016
Artichoke,Canned,3.32,per pound,0.65,0.3858,pounds,1.97,2016
Asparagus,Fresh,3.08,per pound,0.4938,0.3968,pounds,2.47,2016
Asparagus,Canned,2.72,per pound,0.65,0.3968,pounds,1.66,2016
Asparagus,Frozen,6.07,per pound,1.0335,0.3968,pounds,2.33,2016
Avocados,Fresh,2.23,per pound,0.7408,0.3197,pounds,0.96,2016
Beets,Canned,0.94,per pound,0.65,0.3748,pounds,0.54,2016
Black beans,Canned,0.95,per pound,0.65,0.3858,pounds,0.56,2016
Black beans,Dried,1.4,per pound,2.4692,0.3858,pounds,0.24,2016
Blackeye peas,Canned,0.93,per pound,0.65,0.3748,pounds,0.54,2016
Blackeye peas,Dried,1.61,per pound,2.5397,0.3858,pounds,0.24,2016
Broccoli florets,Fresh,2.36,per pound,1,0.3417,pounds,0.81,2016
Broccoli heads,Fresh,1.92,per pound,0.78,0.3417,pounds,0.84,2016
Broccoli,Frozen,1.82,per pound,0.8818,0.3417,pounds,0.71,2016
Brussels sprouts,Fresh,2.96,per pound,1.06,0.3417,pounds,0.95,2016
Brussels sprouts,Frozen,2.04,per pound,0.96,0.3417,pounds,0.73,2016
Butternut squash,Fresh,1.29,per pound,0.714,0.4519,pounds,0.82,2016
"Cabbage, green",Fresh,0.62,per pound,0.7788,0.3307,pounds,0.26,2016
"Cabbage, red",Fresh,1.02,per pound,0.7791,0.3307,pounds,0.43,2016
"Cabbage, sauerkraut",Canned,1.15,per pound,0.65,0.3086,pounds,0.55,2016
"Carrots, cooked whole",Fresh,0.77,per pound,0.8158,0.3197,pounds,0.3,2016
"Carrots, raw whole",Fresh,0.77,per pound,0.89,0.2756,pounds,0.24,2016
"Carrots, baby",Fresh,1.44,per pound,1,0.2756,pounds,0.4,2016
Carrots,Canned,0.92,per pound,0.65,0.3197,pounds,0.45,2016
Carrots,Frozen,1.4,per pound,0.98,0.3197,pounds,0.46,2016
Cauliflower florets,Fresh,3.13,per pound,0.9702,0.2756,pounds,0.89,2016
